BORNS,Dopamine,Blue Madonna,,,,,,,,,,,,,,
Boston,Boston,,,,,,,,,,,,,,,
Boygenius,Boygenius,,,,,,,,,,,,,,,
Brandi Carlile,"By The Way, I Forgive You",,,,,,,,,,,,,,,
Brassroots,Black Eye Friday,,,,,,,,,,,,,,,
Brian Eno,Music For Airports,Apollo,Here Come The Warm Jets,,,,,,,,,,,,,
Brittany Howard,Jaime,,,,,,,,,,,,,,,
BROCKHAMPTON,Saturation,Saturation II,Saturation III,Iridescence,Ginger,"ROADRUNNER: NEW LIGHT, NEW MACHINE",,,,,,,,,,
Bruno Mars,24k Magic,,,,,,,,,,,,,,,
Buddy Guy,A Man And The Blues,,,,,,,,,,,,,,,
Buddy Holly,Buddy Holly,,,,,,,,,,,,,,,
Cage The Elephant,Cage The Elephant,,,,,,,,,,,,,,,
Cate Le Bon,Reward,,,,,,,,,,,,,,,
Carole King,Tapestry,,,,,,,,,,,,,,,
Caroline Polachek,Pang,,,,,,,,,,,,,,,
Caroline Rose,Loner,,,,,,,,,,,,,,,
Car Seat Headrest,Teens Of Denial,Teens Of Style,Twin Fantasy,Making A Door Less Open,,,,,,,,,,,,
Cardi B,Invasion Of Privacy,,,,,,,,,,,,,,,
Carly Rae Jepsen,Emotion,Dedicated,,,,,,,,,,,,,,
Carpenters,A Song For You,Carpenters,,,,,,,,,,,,,,
Chance The Rapper,Coloring Book,Acid Rap,,,,,,,,,,,,,,
Charles Mingus,The Black Saint And The Sinner Lady,Ah Um,Blues & Roots,,,,,,,,,,,,,
Charli XCX,Pop 2,Charli,how i'm feeling now,,,,,,,,,,,,,
Childish Gambino,Awaken My Love,,,,,,,,,,,,,,,
Chloe x Halle,Ungodly Hour,,,,,,,,,,,,,,,
Chris Stapleton,Traveller,,,,,,,,,,,,,,,
Chuck Berry,Berry Is On Top,,,,,,,,,,,,,,,
Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,The Tourist,Some Loud Thunder,Hysterical,Skin and Bones,,,,,,,,,,,
clipping.,ClPPNG,Splendor & Misery,,,,,,,,,,,,,,
Cocteau Twins,Heaven Or Las Vegas,,,,,,,,,,,,,,,
Code Orange,Forever,,,,,,,,,,,,,,,
Coldplay,Parachutes,A Rush Of Blood To The Head,X&Y,Viva La Vida Or Death And All His Friends,Mylo Xyloto,Ghost Stories,Everyday Life,,,,,,,,,
Common,Be,,,,,,,,,,,,,,,
Courtney Barnett,Tell Me How You Really Feel,"Things Take Time, Take Time",,,,,,,,,,,,,,
"Crosby, Stills, and Nash","Crosby, Stills, and Nash",,,,,,,,,,,,,,,
"Crosby, Stills, Nash, and Young",déjà vu,,,,,,,,,,,,,,,
Curtis Mayfield,Curtis!,,,,,,,,,,,,,,,
Daft Punk,Discovery,Random Access Memories,,,,,,,,,,,,,,
Danny Brown,Atrocity Exhibition,uknowhatimsaying?,,,,,,,,,,,,,,
Daughters,You Won't Get What You Want,,,,,,,,,,,,,,,
David Bowie,The Rise and Fall of Ziggy Stardust,Blackstar,Heroes,Hunky Dory,Low,,,,,,,,,,,
D'Angelo,Voodoo,,,,,,,,,,,,,,,
Death Cab For Cutie,Transantlanticism,We Have The Facts And We're Voting Yes,Narrow Stairs,Codes And Keys,Thank You For Today,,,,,,,,,,,
Death Grips,The Money Store,Bottomless Pit,The Powers That B,Exmilitary,Year Of The Snitch,,,,,,,,,,,
Deer Tick,Deer Tick Vol. 1,Deer Tick Vol. 2,,,,,,,,,,,,,,
Deerhunter,Fading Frontier,Halycon Digest,Why Hasn't Everything Already Disappeared?,,,,,,,,,,,,,
Deltron 3030,Deltron 3030,,,,,,,,,,,,,,,
Denzel Curry,Zuu,,,,,,,,,,,,,,,
Destroyer,Kaputt,,,,,,,,,,,,,,,
DJ Shadow,Entroducing…..,,,,,,,,,,,,,,,
Django Reinhardt,The Indespensible Django Reinhardt,,,,,,,,,,,,,,,
DNCE,DNCE,,,,,,,,,,,,,,,
Donald Fagen,Sunken Condos,,,,,,,,,,,,,,,
Dorian Electra,Flamboyant,My Agenda,,,,,,,,,,,,,,
Dr. Dre,2001,,,,,,,,,,,,,,,
Drake,Views,More Life,Scorpion,Care Package,,,,,,,,,,,,
Drive By Truckers,Decoration Day,,,,,,,,,,,,,,,
Earl Sweatshirt,Some Rap Songs,,,,,,,,,,,,,,,
Ed Sheeran,Divide,,,,,,,,,,,,,,,
El-P,Tuned Mass Damper,,,,,,,,,,,,,,,
Ella Fitzgerald,Ella Fitzgerald Sing the Cole Porter Songbook,,,,,,,,,,,,,,,
Elliott Smith,Either/Or,XO,,,,,,,,,,,,,,
Elton John,Good Bye Yellow Brick Road,,,,,,,,,,,,,,,
Elvis Presley,Elvis Presley,,,,,,,,,,,,,,,
Emily Yacina,Remember the Silver,,,,,,,,,,,,,,,
Eminem,Marshall Mathers LP,Eminem Show,Recovery,Slim Shady LP,Marshall Mathers LP2,Revival,Kamikaze,Music To Be Murdered By,,,,,,,,
Enya,Dark Sky Island,,,,,,,,,,,,,,,
Eric B. And Rakim,Paid In Full,,,,,,,,,,,,,,,
Eric Clapton,Slowhand,,,,,,,,,,,,,,,
Etta James,At Last!,,,,,,,,,,,,,,,
Faith No More,The Real Thing,,,,,,,,,,,,,,,
Fall Out Boy,From Under The Cork Tree,,,,,,,,,,,,,,,
Father John Misty,Pure Comedy,God's Favorite Customer,,,,,,,,,,,,,,
Fats Domino,Fats Domino Swings,,,,,,,,,,,,,,,
Fennesz,Agora,,,,,,,,,,,,,,,
Filter,Title Of Record,,,,,,,,,,,,,,,
Finneas,Optimist,,,,,,,,,,,,,,,
Fiona Apple,Fetch The Bolt Cutters,,,,,,,,,,,,,,,
First-Aid Kit,The Lion's Roar,,,,,,,,,,,,,,,
FKA Twigs,MAGDALENE,,,,,,,,,,,,,,,
Fleet Foxes,Crack-up,Helplessness Blues,Shore,,,,,,,,,,,,,
Fleetwood Mac,Rumours,Tango In The Night,,,,,,,,,,,,,,
Florist,Emily Alone,,,,,,,,,,,,,,,
Flume,Hi This Is Flume,,,,,,,,,,,,,,,
Foo Fighters,Foo Fighters,The Colour and The Shape,Concrete And Gold,,,,,,,,,,,,,
Foxygen,…And Star Power,We Are The 21st Century Ambassadors of Peace & Magic,,,,,,,,,,,,,,
Frank Ocean,Channel Orange,Blonde,Igor,,,,,,,,,,,,,
Freddie King,Burglar,,,,,,,,,,,,,,,
Funkadelic,Funkadelic,,,,,,,,,,,,,,,
Genesis,Selling England By The Pound,,,,,,,,,,,,,,,
Genesis Owusu,Smiling With No Teeth,,,,,,,,,,,,,,,
G. Flip,About Us,,,,,,,,,,,,,,,
Giraffage,Too Real,,,,,,,,,,,,,,,
Glass Animals,How To Be A Human Being,Zaba,Dreamland,,,,,,,,,,,,,
Godspeed You! Black Emperor,Lift Your Skinny Fists Like Antennas To Heaven,,,,,,,,,,,,,,,
Good Charlotte,Good Charlotte,Cardiology,Good Morning Revival,,,,,,,,,,,,,
Gordon Lightfoot,Sundown,,,,,,,,,,,,,,,
Gorillaz,Gorillaz,"Song Machine, Season One: Strange Timez",Humanz,,,,,,,,,,,,,
Green Day,American Idiot,Nimrod,21st Century Breakdown,Dookie,Insomniac,Revolution Radio,,,,,,,,,,
Grimes,Visions,Miss Anthropocene,,,,,,,,,,,,,,
Grizzly Bear,Veckatimest,,,,,,,,,,,,,,,
Grouplove,Big Mess,,,,,,,,,,,,,,,
Guns N' Roses,Appetite For Destruction,,,,,,,,,,,,,,,
H.E.R.,H.E.R.,,,,,,,,,,,,,,,
Harry Styles,Harry Styles,Fine Line,,,,,,,,,,,,,,
The Highwomen,The Highwomen,,,,,,,,,,,,,,,
IDLES,Joy as an Act of Resistance,XYZ,,,,,,,,,,,,,,
Iglooghost,Neo Wax Bloom,,,,,,,,,,,,,,,
illScarlett,EPdemic,,,,,,,,,,,,,,,
Injury Reserve,Floss,Live From The Dentist Office,Drive It Like It's Stolen,Injury Reserve,By The Time I Get To Phoenix,,,,,,,,,,,
Interpol,Turn On The Bright Lights,,,,,,,,,,,,,,,
The Isley Brothers,3 + 3,,,,,,,,,,,,,,,
J. Cole,2014 Forest Hills Drive,4 Your Eyez Only,KOD,The Off-Season,,,,,,,,,,,,
J. Dilla,Donuts,,,,,,,,,,,,,,,
Jack Johnson,In Between Dreams,,,,,,,,,,,,,,,
Jack White,Boarding House Reach,Blunderbuss,,,,,,,,,,,,,,
Jai Paul,Leak 04-13 (Bait Ones),,,,,,,,,,,,,,,
James Taylor,Sweet Baby James,,,,,,,,,,,,,,,
Jamie xx,In Colour,,,,,,,,,,,,,,,
Jamilla Woods,LEGACY!LEGACY!,,,,,,,,,,,,,,,
Janelle Monae,Dirty Computer,,,,,,,,,,,,,,,
Japanese Breakfast,Soft Sounds From Another Planet,,,,,,,,,,,,,,,
Jay Rock,Redemption,,,,,,,,,,,,,,,
Jay Z,Reasonable Doubt,4:44,,,,,,,,,,,,,,
Jeff Buckley,Grace,,,,,,,,,,,,,,,
Jeff Rosenstock,Worry,Post,,,,,,,,,,,,,,
Jeff Tweedy,Warm,,,,,,,,,,,,,,,
Jefferson Airplane,Surrealistic Pillow,Long John Silver,,,,,,,,,,,,,,
Jhene Aiko,Chilombo,,,,,,,,,,,,,,,
JID,DiCaprio 2,,,,,,,,,,,,,,,
Jim Hall,Jazz Guitar,,,,,,,,,,,,,,,
Jimi Hendrix,Are You Experienced?,Electric Ladyland,Bold As Love,,,,,,,,,,,,,
Jimmy Eat World,Integrity Blues,,,,,,,,,,,,,,,
Joe Satriani,Surfing With The Alien,,,,,,,,,,,,,,,
Joey Bada$$,ALL-AMERIKKKAN BADA$$,1999,,,,,,,,,,,,,,
John Coltrane,A Love Supreme,,,,,,,,,,,,,,,
John Frusciante,To Record Only Water For Ten Days,,,,,,,,,,,,,,,
John Hopkins,Singularity,,,,,,,,,,,,,,,
John Kale,Paris 1919,,,,,,,,,,,,,,,
John Mayer,Room for Squares,Heavier Things,Continuum,Battle Studies,The Search For Everything,Born And Raised,,,,,,,,,,
Johnny Cash,The Man Comes Around IV,,,,,,,,,,,,,,,
Joni Mitchell,Blue,Court And Spark,,,,,,,,,,,,,,
Joy Division,Unknown Pleasures,Closer,,,,,,,,,,,,,,
JPEGMAFIA,Veteran,All My Hereos Are Cornballs,LP!,,,,,,,,,,,,,
Kali Uchis,Isolation,,,,,,,,,,,,,,,
Kamasi Washington,Heaven And Earth,,,,,,,,,,,,,,,
Kanye West,The College Dropout,My Beautiful Dark Twisted Fantasy,The Life of Pablo,Late Registration,Graduation,808s and Heartbreak,Yeezus,Ye,Jesus Is King,Donda,,,,,,
Karen Dalton,In My Own Time,,,,,,,,,,,,,,,
Kasey Musgraves,Golden Hour,,,,,,,,,,,,,,,
Kate Bush,Hounds Of Love,,,,,,,,,,,,,,,
Katy Perry,Witness,,,,,,,,,,,,,,,
KAYTRANADA,Bubba,,,,,,,,,,,,,,,
Kendrick Lamar,To Pimp A Butterfly,"good kid, m.A.A.d city",untitled unmastered,Section.80,Damn,,,,,,,,,,,
Kenna,New Sacred Cow,,,,,,,,,,,,,,,
Kesha,Rainbow,High Road,,,,,,,,,,,,,,
Kevin Abstract,American Boyfriend,,,,,,,,,,,,,,,
Khruangbin,The Universe Smiles Upon You,,,,,,,,,,,,,,,
Kid Cudi,Man On The Moon,,,,,,,,,,,,,,,
Kids See Ghosts,Kids See Ghosts,,,,,,,,,,,,,,,
Kim Petras,TURN OFF THE LIGHT,,,,,,,,,,,,,,,
King Gizzard & The Lizard Wizard,Infest The Rat's Nest,,,,,,,,,,,,,,,
King Krule,The OOZ,Man Alive!,,,,,,,,,,,,,,
Lady Gaga,Joanne,,,,,,,,,,,,,,,
Lana Del Rey,Lust For Life,Born To Die,Norman Fucking Rockwell,Chemtrails Over The Country Club,Blue Banisters,,,,,,,,,,,
Lauryn Hill,The Miseducation of Miss Lauryn Hill,,,,,,,,,,,,,,,
Lawrence,Hotel TV,,,,,,,,,,,,,,,
LCD Soundsystem,Sound Of Silver,This Is Happening,American Dream,,,,,,,,,,,,,
Led Zeppelin,Led Zeppelin I,Led Zeppelin II,Led Zeppelin III,Led Zeppelin IV,Houses Of The Holy,Physical Graffiti,,,,,,,,,,
Leif,Loom Dream,,,,,,,,,,,,,,,
Leonard Cohen,You Want It Darker,Songs of Love And Hate,,,,,,,,,,,,,,
Let's Eat Grandma,I'm All Ears,,,,,,,,,,,,,,,
Lil Wayne,Tha Carter V,,,,,,,,,,,,,,,
Little Richard,The Georgia Peach,,,,,,,,,,,,,,,
Little Simz,GREY Area,Sometimes I Might Be Introvert,,,,,,,,,,,,,,
Lizzo,Cuz I Love You,,,,,,,,,,,,,,,
Logic,Everybody,,,,,,,,,,,,,,,
Lorde,Melodrama,Pure Heroine,,,,,,,,,,,,,,
Lou Reed,Transformer,,,,,,,,,,,,,,,
Love,Forever Changes,,,,,,,,,,,,,,,
Low,Double Negative,,,,,,,,,,,,,,,
Lucy Dacus,No Burden,Historian,,,,,,,,,,,,,,
Lupe Fiasco,Lasers,,,,,,,,,,,,,,,
Lynyrd Skynyrd,Pronounced 'Leh-Nerd 'Skin-Nerd,,,,,,,,,,,,,,,
Mac DeMarco,Salad Days,Here Comes The Cowboy,,,,,,,,,,,,,,
Mac Miller,GO:OD AM,The Divine Feminine,Swimming,Circles,Faces,,,,,,,,,,,
Machine Girl,Wlfgrl,,,,,,,,,,,,,,,
Madvillain,Madvillainy,,,,,,,,,,,,,,,
Malibu Ken,Malibu Ken,,,,,,,,,,,,,,,
Mansionz,Mansionz,,,,,,,,,,,,,,,
Marty Robbins,Gunfighter Ballads And Trail Songs,,,,,,,,,,,,,,,
Marvin Gaye,What's Going On,,,,,,,,,,,,,,,
Meat Puppets,Meat Puppets II,,,,,,,,,,,,,,,
MellowHype,BlackenedWhite,,,,,,,,,,,,,,,
Metallica,Metallica,Hardwired...To Self-Destruct,,,,,,,,,,,,,,
MF Doom,MM…Food,Operation Doomsday,Special Herbs Vol. 1 & 2,Special Herbs Vol. 3 & 4,,,,,,,,,,,,
MGMT,Little Dark Age,,,,,,,,,,,,,,,
Migos,Culture,,,,,,,,,,,,,,,
Miles Davis,Kind Of Blue,Bitches Brew,,,,,,,,,,,,,,
Misterwives,Connect The Dots,,,,,,,,,,,,,,,
Mitski,Puberty 2,Be The Cowboy,,,,,,,,,,,,,,
The Modern Lovers,The Modern Lovers,,,,,,,,,,,,,,,
Modest Mouse,Good News For People Who Love Bad News,We Were Dead Before The Ship Even Sank,,,,,,,,,,,,,,
Moodyman,Sinner KDJ-48,,,,,,,,,,,,,,,
Mount Eerie,A Crow Looked At Me,Now Only,,,,,,,,,,,,,,
My Bloody Valentine,Loveless,,,,,,,,,,,,,,,
My Chemical Romance,The Black Parade,Three Cheers For Sweet Revenge,,,,,,,,,,,,,,
My Morning Jacket,It Still Moves,Z,Circuital,,,,,,,,,,,,,
N.E.R.D.,No One Ever Really Dies,,,,,,,,,,,,,,,
Nas,Illmatic,Nasir,Stillmatic,,,,,,,,,,,,,
Neil Young,Harvest,After The Gold Rush,,,,,,,,,,,,,,
Neutral Milk Hotel,On Avery Island,In The Aeroplane Over The Sea,,,,,,,,,,,,,,
Nick Drake,Pink Moon,Five Leaves Left,Bryter Layter,,,,,,,,,,,,,
Nicki Minaj,Queen,,,,,,,,,,,,,,,
Nico,Chelsea Girl,,,,,,,,,,,,,,,
Nilufer Yanya,Miss Universe,,,,,,,,,,,,,,,
Nina Simone,In Concert,,,,,,,,,,,,,,,
Nirvana,Nevermind,In Utero,MTV Unplugged,,,,,,,,,,,,,
Nivhek,After its own death / Walking in a spiral towards the house,,,,,,,,,,,,,,,
Noname,Telefone,Room 25,,,,,,,,,,,,,,
Nubiyan Twist,Jungle Run,,,,,,,,,,,,,,,
Oasis,Definitely Maybe,(What's The Story) Morning Glory?,,,,,,,,,,,,,,
of Montreal,"Hissing Fauna, Are You The Destroyer?",,,,,,,,,,,,,,,
OneRepublic,Oh My My,,,,,,,,,,,,,,,
Open Mike Eagle,Brick Body Kids Still Daydream,,,,,,,,,,,,,,,
Otis Redding,King & Queen,Dock Of The Bay,,,,,,,,,,,,,,
Outkast,Aquemini,,,,,,,,,,,,,,,
Panda Bear,Person Pitch,,,,,,,,,,,,,,,
Panic! at the Disco,A Fever You Can't Sweat Out,Pretty. Odd.,Vices and Virtues,"Too Weird To Live ,Too Rare To Die!",Death Of A Bachelor,,,,,,,,,,,
Paramore,After Laughter,,,,,,,,,,,,,,,
Parquet Courts,Wide Awake!,,,,,,,,,,,,,,,
Parcels,Parcels,,,,,,,,,,,,,,,
Patti Smith,Horses,,,,,,,,,,,,,,,
Paul Simon,Graceland,,,,,,,,,,,,,,,
Pearl Jam,Ten,,,,,,,,,,,,,,,
Perfume Genius,Set My Heart On Fire Immediately,No Shape,,,,,,,,,,,,,,
Phantogram,Three,Voices,,,,,,,,,,,,,,
Phil Collins,Face Value,No Jacket Required,,,,,,,,,,,,,,
Phoebe Bridgers,Punisher,,,,,,,,,,,,,,,
Pinegrove,Cardinal,,,,,,,,,,,,,,,
Pink Floyd,Dark Side of The Moon,The Wall,Wish You Were here,Animals,The Endless River,The Piper At The Gates Of Dawn,The Division Bell,,,,,,,,,
Pixies,Doolittle,Surfer Rosa,,,,,,,,,,,,,,
Polo G,Die A Legend,,,,,,,,,,,,,,,
Pond,The Weather,"Beard, Wives, And Denim",Man It Feels Like Space Again,Tasmania,,,,,,,,,,,,
Porches,Pool,Slow Dances In The Cosmos,The House,Ricky Music,,,,,,,,,,,,
Portishead,Dummy,,,,,,,,,,,,,,,
Post Malone,beerbongs & bentleys,,,,,,,,,,,,,,,
Prince,Purple Rain,1999,,,,,,,,,,,,,,
Pup,Morbid Stuff,Pup,,,,,,,,,,,,,,
Purple Mountains,Purple Mountains,,,,,,,,,,,,,,,
Pusha T,Daytona,,,,,,,,,,,,,,,
Queen,Jazz,A Night At The Opera,A Day At The Races,The Game,News Of The World,,,,,,,,,,,
Queens of the Stone Age,Queens of the Stone Age,,,,,,,,,,,,,,,
Quiet Bison,Nightfall,,,,,,,,,,,,,,,
R.E.M.,Out Of Time,Automatic For The People,,,,,,,,,,,,,,
Rachel K Collier,RKC,,,,,,,,,,,,,,,
Radiohead,OK Computer,The Bends,Kid A,In Rainbows,A Moon Shaped Pool,Amnesiac,Pablo Honey,,,,,,,,,
Rage Against the Machine,Rage Against The Machine,,,,,,,,,,,,,,,
Rainbow Kitten Surprise,"How To: Friend, Love, Freefall",,,,,,,,,,,,,,,
Raphael Saadiq,Jimmy Lee,,,,,,,,,,,,,,,
Real Estate,Days,,,,,,,,,,,,,,,
Red Hot Chili Peppers,By The Way,I'm With You,The Getaway,Blood Sugar Sex Magik,Mother's Milk,Freaky Styley,One Hot Minute,,,,,,,,,
Red Jumpsuit Apparatus,Don't You Fake It,,,,,,,,,,,,,,,
Remo Drive,Greatest Hits,,,,,,,,,,,,,,,
The Replacements,Let It Be,,,,,,,,,,,,,,,
Richard Dawson,2020,,,,,,,,,,,,,,,
Ride,Nowhere,,,,,,,,,,,,,,,
Rick Ross,Port Of Miami 2,,,,,,,,,,,,,,,
Rihanna,ANTI,,,,,,,,,,,,,,,
Rina Sawayama,SAWAYAMA,,,,,,,,,,,,,,,
Ringo Deathstarr,Colour Trip,,,,,,,,,,,,,,,
Robben Ford,Talk To Your Daughter,,,,,,,,,,,,,,,
Robyn,Honey,,,,,,,,,,,,,,,
Rosalia,El Mal Querer,,,,,,,,,,,,,,,
Run The Jewels,Run The Jewels,Run The Jewels 2,Run The Jewels 3,Run The Jewels 4,,,,,,,,,,,,
Rush,Moving Pictures,2112,,,,,,,,,,,,,,
Ryu Fukui,Scenery,,,,,,,,,,,,,,,
Saint Motel,Saintmotelevision,,,,,,,,,,,,,,,
Sam Cooke,Sam Cooke Live At Harlem Square Club,(Ain't That) Good News,,,,,,,,,,,,,,
Schoolboy Q,Blank Face LP,,,,,,,,,,,,,,,
Selena Gomez,Revival,Rare,,,,,,,,,,,,,,
serpentwithfeet,soil,,,,,,,,,,,,,,,
Sharon Van Etten,Remind Me Tomorrow,epic Ten,,,,,,,,,,,,,,
The Shins,Chutes Too Narrow,"Oh, Inverted World",,,,,,,,,,,,,,
Sigur Ros,Agaetis Byrjun,,,,,,,,,,,,,,,
Simon And Garfunkel,Sounds Of Silence,Bookends,,,,,,,,,,,,,,
Slint,Spiderland,,,,,,,,,,,,,,,
Slowdive,Slowdive,Souvlaki,Pygmalion,,,,,,,,,,,,,
Slowthai,Nothing Great About Britain,,,,,,,,,,,,,,,
Smokey Robinson,Going To A Go-Go,,,,,,,,,,,,,,,
Snail Mail,Lush,,,,,,,,,,,,,,,
Soccer Mommy,Clean,,,,,,,,,,,,,,,
Solange,When I Get Home,A Seat At The Table,,,,,,,,,,,,,,
Sonic Youth,Daydream Nation,,,,,,,,,,,,,,,
Sophie,Oil Of Every Pearl's Un-Insides,,,,,,,,,,,,,,,
Spoon,Ga Ga Ga Ga Ga,Kill The Moonlight,They Want My Soul,,,,,,,,,,,,,
Steely Dan,Pretzel Logic,,,,,,,,,,,,,,,
Steve Lacy,Apollo XXI,,,,,,,,,,,,,,,
Stevie Ray Vaughan,Texas Flood,,,,,,,,,,,,,,,
Stevie Wonder,Innervisions,,,,,,,,,,,,,,,
The Stooges,Funhouse,,,,,,,,,,,,,,,
Streetlight Manifesto,Everything Goes Numb,,,,,,,,,,,,,,,
STRFKR,"Being No One, Going No Where",Miracle Mile,,,,,,,,,,,,,,
Sublime,Sublime,,,,,,,,,,,,,,,
Sufjan Stevens,Illinois,Carrie & Lowell,The Age Of Adz,Seven Swans,Michigan,The Ascension,,,,,,,,,,
Sum 41,13 Voices,,,,,,,,,,,,,,,
Superorganism,Superorganism,,,,,,,,,,,,,,,
Supremes,Where Did Our Love Go,,,,,,,,,,,,,,,
Swans,To Be Kind,,,,,,,,,,,,,,,
Syd,Fin,,,,,,,,,,,,,,,
SZA,Ctrl,,,,,,,,,,,,,,,
Talking Heads,Remain In Light,Fear Of Music,,,,,,,,,,,,,,
Tame Impala,Currents,Tame Impala,Innerspeaker,Lonerism,The Slow Rush,,,,,,,,,,,
Taylor Swift,Lover,Evermore,,,,,,,,,,,,,,
Television,Marquee Moon,,,,,,,,,,,,,,,
Tennis,Yours Conditionally,Ritual In Repeat,Swimmer,,,,,,,,,,,,,
The 1975,A Brief Inquiry into Online Relationships,,,,,,,,,,,,,,,
The Allmans Brother Band,Brothers And Sisters,,,,,,,,,,,,,,,
The Apples In Stereo,Travellers In Space And Time,,,,,,,,,,,,,,,
The Avalanches,Wildflower,Since I Left You,We Will Always Love You,,,,,,,,,,,,,
The Band,Music From Big Pink,The Band,,,,,,,,,,,,,,
The Beach Boys,Pet Sounds,The Smile Sessions,,,,,,,,,,,,,,
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,The White Album,Rubber Soul,Revolver,Abbey Road,HELP!,Let It Be,Magical Mystery Tour,,,,,,,,
The Chemical Brothers,Dig Your Own Hole,Born In The Echoes,,,,,,,,,,,,,,
The Clash,London Calling,,,,,,,,,,,,,,,
The Cranberries,No Need To Argue,"If Everyone Else Is Doing It, Why Can't We?",,,,,,,,,,,,,,
The Cure,Disintegration,Pornography,,,,,,,,,,,,,,
The Doors,The Doors,L.A. Woman,,,,,,,,,,,,,,
The Eagles,Hotel California,,,,,,,,,,,,,,,
The Flaming Lips,The Soft Bulletin,With A Little Help From My Fwends,Yoshimi Battles The Pink Robots,Clouds Taste Metallic,Due To High Expectations…The Flaming Lips Are Providing Needles For Your Balloons,At War With The Mystics,Oczy Mlody,American Head,,,,,,,,
The Grateful Dead,American Beauty,,,,,,,,,,,,,,,
The Impressions,We're A Winner,,,,,,,,,,,,,,,
